player,position,age,goals,apps,height
Yaya Touré,Midfielder,34,94,527,1.89
Luka Modrić,Midfielder,32,60,391,1.74
Carlos Tevez,Forward,34,206,492,1.73
Robert Huth,Defender,33,21,323,1.91
Igor Vladimirovich Akinfeev,Goalkeeper,31,0,441,1.85
Ricardo Quaresma,Midfielder,34,76,382,1.75
Nemanja Vidić,Defender,36,40,423,1.9
Aruna Dindane,Forward,37,119,403,1.7526
Didier Drogba,Striker,40,264,582,1.88
Juan Román Riquelme,Midfielder,39,151,579,1.82
Andrew Driver,Midfielder,30,26,248,1.75
Marc Janko,Forward,34,171,308,1.96
Amr Zaki,Forward,34,124,287,1.85
Kader Keïta,Forward,36,88,380,1.84
Milan Badelj,Midfielder,29,39,288,1.86
Dejan Lovren,Defender,28,10,278,1.88
Mohamed Zidan,Forward,36,116,376,1.72
Jonathan Greening,Midfielder,39,24,475,1.8034
Fernando Gabriel Amorebieta Mardaras,Defender,32,8,347,1.92
Gabriel Sebastian Tamaș,Defender,34,13,313,1.88
Eden Michael Hazard,Midfielder,27,85,319,1.73
John Mensah,Defender,35,10,302,1.84
Mario Balotelli,Forward,27,92,247,1.89
Joe Cole,Midfielder,36,62,469,1.76
Mohamed Ali Abu El Yazid Shawky,Midfielder,36,86,313,1.81
Cristian Riveros,Midfielder,35,69,542,1.79
Mesut Özil,Midfielder,29,80,404,1.83
David Villa Sánchez,Forward,36,339,640,1.75
Christian Lell,Defender,33,7,280,1.83
Gonzalo Gerardo Higuaín,Forward,30,230,402,1.84
Michel Bastos,Midfielder,34,83,388,1.79
Stephan El Shaarawy,Forward,25,46,178,1.78
Arjen Robben,Forward,34,136,379,1.8
Jonás Gutiérrez,Midfielder,34,19,423,1.84
Dean Ashton,Forward,34,99,256,1.8542
Stephen Warnock,Defender,36,15,395,1.524
Richard Patrick Dunne,Defender,38,21,597,1.88
Gavin McCann,Midfielder,40,12,313,1.8034
Stewart Downing,Midfielder,33,44,479,1.8034
Luís Fabiano,Forward,37,234,453,1.85
Afonso Alves Martins Júnior,Forward,37,146,239,1.8542
Felipe Melo,Midfielder,34,45,420,1.83
Ashley Young,Midfielder,32,68,405,1.75
Niko Kranjčar,Midfielder,33,76,405,1.86
Jan Bert Lieve Vertonghen,Defender,30,38,398,1.89
Marko Marin,Midfielder,28,29,256,1.7
Michael William Eric Tonge,Midfielder,34,30,420,1.83
Emmanuel Jorge Ledesma,Attacking midfielder,29,17,141,1.8
Louis Saha,Forward,39,121,405,1.81
Rafik Djebbour,Forward,34,126,309,1.85
Stipe Pletikosa,Goalkeeper,39,4,374,1.93
Florent Malouda,Midfielder,37,100,581,1.77
Nedum Onuoha,Defender,31,12,294,1.8796
Roman Pavlyuchenko,Forward,36,162,475,1.88
Axel Witsel,Midfielder,29,51,317,1.86
Sylwester Patejuk,Striker,35,31,155,1.88
Younès Belhanda,Midfielder,28,40,240,1.77
Siaka Tiéné,Defender,36,27,340,1.76
Urby Vitorrio Diego Emanuelson,Defender,31,23,311,1.76
Kevin-Prince Boateng,Forward,31,38,273,1.86
Tom Peter Starke,Goalkeeper,36,0,271,1.94
Rasmus Christoffer Elm,Midfielder,29,46,296,1.84
Frank James Lampard,Midfielder,39,231,772,1.83
Florian Kringe,Midfielder,35,47,349,1.87
Kevin Edward Doyle,Forward,34,143,536,1.81
Marouane Chamak,Forward,34,89,399,1.85
Paul Konchesky,Defender,36,15,549,1.78
Mauro Abel Formica,Midfielder,29,33,193,1.75
Adrian Mariappa,Defender,31,7,322,1.8034
Marko Arnautović,Winger,28,46,230,1.92
Ross McCormack,Forward,31,141,411,1.75
Étienne Capoue,Midfielder,29,21,270,1.89
Roque Santa Cruz,Forward,36,145,537,1.91
Sebastian Giovinco,Forward,31,85,307,1.62
Jay Rodriguez,Forward,28,57,207,1.8542
Mahamadou Diarra,Defensive midfielder,36,28,403,1.82
