player,rumuoured_club
Srdjan Grahovac,HNK Rijeka
Ricardo Laborde,APOEL Nicosia
N. Bendtner,FC Girondins Bordeaux
T. Solomon,Omonia Nicosia
Oliver McBurnie,Sunderland AFC
Jordan Hugill,West Ham United
Andy King,Swansea City
E. Mangala,Everton FC
Dante Stipica,AC Sparta Praha
Marin Leovac,HNK Rijeka
Darko Velkovski,HNK Rijeka
Rafik Guitane,Stade Rennais FC
Chung-Yong Lee,Bolton Wanderers
Chris Martin,Reading FC
S. Langkamp,SV Werder Bremen
Robert Gumny,Borussia Mönchengladbach
Mihailo Ristic,AC Sparta Praha
Daley Blind,AS Roma
Ibrahim Amadou,West Ham United
E. Mangala,Newcastle United
Halil Altintop,1.FC Kaiserslautern
Viktor Fischer,FC Copenhagen
Milot Rashica,SV Werder Bremen
Quincy Promes,Southampton FC
Riyad Mahrez,Manchester City
Olivier Giroud,Chelsea FC
Josip Drmic,Grasshopper Club Zurich
Davy Klaassen,SSC Napoli
Davy Klaassen,Inter Milan
Marc Bartra,Real Betis Balompié
Admir Mehmedi,VfL Wolfsburg
E. Martínez,Leeds United
Muhamed Besic,Middlesbrough FC
Mikel Merino,Athletic Bilbao
L. Dendoncker,Watford FC
A. Zambo Anguissa,Watford FC
F. Llorente,Chelsea FC
D. Sturridge,West Bromwich Albion
I. Martínez,Athletic Bilbao
Stefano Okaka,Fulham FC
Lazar Markovic,Swansea City
Lazar Markovic,VfL Wolfsburg
Ibrahima Tandia,Slaven Belupo Koprivnica
Izet Hajrovic,GNK Dinamo Zagreb
Martin Dubravka,Newcastle United
M. Krmencik,Newcastle United
Marc Bartra,Manchester United
Arturo Vidal,Manchester United
M. Schneiderlin,West Ham United
Gerard Deulofeu,Watford FC
Connor Mahoney,Barnsley FC
Roque Mesa,Sevilla FC
Gustav Engvall,1.FC Kaiserslautern
Ashley Barnes,Crystal Palace
Tommy Elphick,Reading FC
Danny Ings,West Ham United
Krystian Bielik,1.FC Kaiserslautern
M. Braithwaite,SV Werder Bremen
M. Braithwaite,VfL Wolfsburg
F. Nascimento,Levski Sofia
Graziano Pellè,West Ham United
C. Musonda Jr.,Celtic FC
Eros Grezda,GNK Dinamo Zagreb
E. Soudani,Nottingham Forest
Matej Mitrovic,Club Brugge KV
Z. Ibrahimovic,Los Angeles Galaxy
Z. Ibrahimovic,Los Angeles Galaxy
Bacary Sagna,Benevento Calcio
Bruno Alves,Benevento Calcio
Mathieu Flamini,Getafe CF
Tim Cahill,Queens Park Rangers
Richmond Boakye,Crystal Palace
Richmond Boakye,Newcastle United
