player,rumoured_club,successful
Yaya Touré,Manchester City F.C.,True
Luka Modrić,Manchester United,False
Carlos Tevez,Chelsea,False
Robert Huth,Middlesbrough F.C.,True
Igor Vladimirovich Akinfeev,Arsenal F.C.,False
Ricardo Quaresma,Tottenham Hotspur,False
Nemanja Vidić,FC Barcelona,False
Aruna Dindane,Portsmouth F.C.,True
Didier Drogba,Inter Milan,False
Juan Román Riquelme,Manchester City F.C.,False
Andrew Driver,Manchester City F.C.,False
Marc Janko,Tottenham Hotspur,False
Amr Zaki,Newcastle United F.C.,False
Kader Keïta,Everton,False
Milan Badelj,Manchester United,False
Dejan Lovren,Chelsea,False
Mohamed Zidan,Manchester United,False
Jonathan Greening,Fulham F.C.,True
Fernando Gabriel Amorebieta Mardaras,Liverpool F.C.,False
Marc Janko,Fulham F.C.,False
Gabriel Sebastian Tamaș,West Bromwich Albion F.C.,True
Eden Michael Hazard,Arsenal F.C.,False
John Mensah,Sunderland AFC,False
Mario Balotelli,Arsenal F.C.,False
Joe Cole,Manchester United,False
Nemanja Vidić,Real Madrid C.F.,False
Mohamed Ali Abu El Yazid Shawky,Al Ahly SC,False
Cristian Riveros,Sunderland AFC,True
Mesut Özil,Manchester City F.C.,False
David Villa Sánchez,Chelsea,False
Christian Lell,Tottenham Hotspur,False
Gonzalo Gerardo Higuaín,Manchester City F.C.,False
Amr Zaki,Aston Villa F.C.,False
Michel Bastos,Tottenham Hotspur,False
Stephan El Shaarawy,Arsenal F.C.,False
Arjen Robben,Manchester City F.C.,False
Jonás Gutiérrez,FC Barcelona,False
Dean Ashton,Stoke City,True
Stephen Warnock,Aston Villa F.C.,True
Richard Patrick Dunne,Aston Villa F.C.,True
Gavin McCann,Portsmouth F.C.,False
Stewart Downing,Aston Villa F.C.,True
Luís Fabiano,Manchester United,False
Afonso Alves Martins Júnior,S.L. Benfica,False
Felipe Melo,Arsenal F.C.,False
Ashley Young,Chelsea,False
Niko Kranjčar,Everton,False
Jan Bert Lieve Vertonghen,Newcastle United F.C.,False
Marko Marin,Chelsea,True
Michael William Eric Tonge,Barnsley F.C.,True
Kader Keïta,Tottenham Hotspur,False
Emmanuel Jorge Ledesma,Middlesbrough F.C.,True
Louis Saha,Tottenham Hotspur,True
Rafik Djebbour,Olympique de Marseille,False
Stipe Pletikosa,Tottenham Hotspur,True
Jan Bert Lieve Vertonghen,Tottenham Hotspur,True
Florent Malouda,Hamburger SV,False
Nedum Onuoha,Queens Park Rangers,True
Roman Pavlyuchenko,Rubin Kazan,False
Axel Witsel,Real Madrid C.F.,False
Sylwester Patejuk,Śląsk Wrocław,True
Younès Belhanda,Manchester City F.C.,False
Siaka Tiéné,Fulham F.C.,False
Urby Vitorrio Diego Emanuelson,Tottenham Hotspur,False
Kevin-Prince Boateng,Bayern Munich,False
Tom Peter Starke,Bayern Munich,True
Rasmus Christoffer Elm,Everton,False
Frank James Lampard,Beijing Renhe F.C.,False
Florian Kringe,Aston Villa F.C.,False
Kevin Edward Doyle,Everton,False
Axel Witsel,A.C. Milan,False
Marouane Chamak,Tottenham Hotspur,False
Paul Konchesky,Liverpool F.C.,True
Mauro Abel Formica,Olympiacos,False
Roman Pavlyuchenko,Rubin Kazan,False
Adrian Mariappa,Wigan Athletic F.C.,False
Marko Arnautović,Chelsea,False
Ross McCormack,Leeds United F.C.,True
Étienne Capoue,FC Barcelona,False
Roque Santa Cruz,Inter Milan,False
Sebastian Giovinco,FC Barcelona,False
Jay Rodriguez,Southampton F.C.,True
Mahamadou Diarra,Fulham F.C.,True
Mathieu Debuchy,Liverpool F.C.,False
Anas Sharbini,Aston Villa F.C.,False
Thiago Emiliano da Silva,Flamengo,False
Robson de Souza,FC Barcelona,False
Carlos Salcido,Liverpool F.C.,False
Fernando José Torres Sanz,Chelsea,True
Wesley Sneijder,A.C. Milan,False
Sotirios Kyrgiakos,Juventus,False
Gonzalo Gerardo Higuaín,Manchester United,False
David Wayne Hoilett,Sportfreunde Siegen,False
Amr Zaki,Chelsea,False
Stoke City,Manchester City F.C.,False
Behrang Safari,Liverpool F.C.,False
Garath McCleary,Reading F.C.,True
Hugo Lloris,FC Barcelona,False
Ryo Miyaichi,Bolton Wanderers F.C.,True
Anthony Mounier,Olympique de Marseille,False
Kim Mikael Källström,Rubin Kazan,False
Gonzalo Gerardo Higuaín,Juventus,True
Katlego Mphela,Queens Park Rangers,False
Xherdan Shaqiri,Bayern Munich,True
Paul Pogba,Juventus,True
Mauricio Aníbal Isla Isla,Liverpool F.C.,False
Kenwyne Jones,Al-Hilal Saudi F.C.,False
Cheick Tioté,Chelsea,False
Mathieu Debuchy,Inter Milan,False
Paulo Machado,Olympiacos,True
Gaël Bigirimana,Newcastle United F.C.,True
Ezequiel Iván Lavezzi,Chelsea,False
Nilmar,SS Lazio,False
Mauricio Aníbal Isla Isla,Real Madrid C.F.,False
Roland Juhász,FC Dnipro,False
Samir Handanović,Inter Milan,True
César Azpilicueta Tanco,Chelsea,True
James McClean,Liverpool F.C.,False
Yosef Shai Benayoun,AFC Ajax,False
Nicolas Nkoulou,FC Barcelona,False
Marouane Fellaini-Bakkioui,Chelsea,False
Mauricio Aníbal Isla Isla,Juventus,True
Ricardo Alexandre Martins Soares Pereira,Sportfreunde Siegen,False
Carlos Javier Cuéllar Jiménez,Olympiacos,False
Granit Xhaka,Liverpool F.C.,False
Didier Drogba,FC Barcelona,False
Faouzi Chaouchi,Eskişehirspor,False
Jores Okore,Manchester United,False
El Hadji Diouf,Hannover 96,False
Kevin De Bruyne,Lille Olympique Sporting Club,False
David Marcelo Pizarro Cortés,Manchester City F.C.,True
Giovani dos Santos,Villarreal,True
Gonzalo Gerardo Higuaín,Chelsea,False
